,SMILES,Value
488,C(Cl)C(Cl)C,286.15
489,C(Cl)(C)C,238.15
490,C(Cl)C(Cl)C(Cl),347.0
491,C(Cl)C(Cl)CC,298.65
492,CC(Cl)C(Cl)C,291.15
493,C(Cl)=C(Cl)Cl,305.15
494,C1CCCCC1(Cl),305.0
495,c1ccccc1(CCl),333.15
496,c1(C)c(C)c(Cl)ccc1,346.0
497,c1(C)c(C)cc(Cl)cc1,340.15
498,c1ccccc1(Cl),301.15
499,c1(Cl)ccccc1(Cl),339.0
500,c1c(Cl)cccc1(Cl),336.15
501,c1cc(Cl)ccc1(Cl),339.0
502,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl),515.0
503,c1(C)ccccc1(Cl),316.15
504,c1cc(C)ccc1(Cl),322.15
505,c1c(Cl)c(C)ccc1(Cl),352.15
506,Cl/C=C\Cl,277.0
507,Cl/C=C/Cl,267.15
508,C=C(Cl)C=C,253.15
509,CCCCCl,263.75
510,CCC(Cl)C,258.15
511,CCCCCCl,284.15
512,c12c(Cl)cccc1cccc2,394.15
513,C=C(Cl)Cl,248.15
514,c1(Cl)c(Cl)cc(Cl)cc1,378.15
515,ClC/C=C\CCl,328.15
516,CC(Cl)=C,239.15
517,C=CC(Cl)CCl,301.15
518,ClC/C=C(C)\Cl,300.15
519,c1ccccc1C(Cl)Cl,361.15
520,Fc1c(F)cccc1,274.15
521,c1(Br)cc(Br)ccc1,366.15
522,c1(Br)ccccc1,324.26
523,CC(I)C,293.15
524,CNC,223.15
525,CCN(CC)CC,262.15
526,CCCNCCC,280.65
527,CCCCN(C)C,270.15
528,CCN(C)CC,250.15
529,CCNCC,245.15
530,CCCCN,263.15
531,CCCCCN,280.15
532,CC(C)CN,260.15
533,NN,313.15
534,CC(C)CNCC(C)C,297.35
535,CC(C)N,236.15
536,C1=CC=CN1,312.0
537,CN(CCO)CCO,411.15
538,NCCO,358.15
539,OCCN(CCO)CCO,463.15
540,CCC(N)C,254.15
541,C1(N)CCCCC1,301.75
542,C1C[C@](C)(CN)([C@@]2([H])(CCC3=CC(C(C)C)=CC=C3C2(C)C1)),464.0
543,NCCCCCCN,354.15
544,c1(CN)ccccc1,338.15
545,c1(C)c(N)cccc1,358.15
546,c1(C)cc(N)ccc1,359.0
547,c1(C)ccc(N)cc1,360.0
548,NCCNCCNCCN,408.15
549,NCCN,307.15
550,C1CN1,262.04
551,CC(C)NC(C)C,266.15
552,CCCCNCCCC,315.0
553,C1CCCCN1,280.15
554,c1ccccc1Nc2ccc(N)cc2,466.5
555,c1(cccn2)c2cccc1,374.0
556,C1N2CN3CN1CN(C3)C2,523.15
557,CC(N)CN,306.15
558,c1ccccc1N(CC)CC,358.15
559,n1(C)cccc1,288.15
560,c1ccccc1Nc2ccccc2,426.0
561,c1(ccc(C)n2)c2cccc1,383.15
562,C[N+](=O)[O-],308.15
563,CC[N+](=O)[O-],303.15
564,CCC[N+](=O)[O-],308.15
565,CC([N+](=O)[O-])C,301.0
566,C1NCCOC1,308.15
567,C1CCCN1,276.0
568,C1CCCN1(C),259.0
569,CCCC[N+](=O)[O-],320.15
570,C#N,255.15
571,CC#N,275.15
572,CCC#N,280.15
573,C=CC#N,268.15
574,N#CCCC#N,405.0
575,c1(C)c([N+](=O)[O-])cccc1,379.0
576,c1(C)ccc([N+](=O)[O-])cc1,379.0
577,c1(C)cc([N+](=O)[O-])ccc1,375.0
578,CCCC#N,291.15
579,CCCCC#N,307.15
580,N#CCC#N,385.15
581,CCCCCC#N,316.15
582,CC(C)C#N,281.48
583,c1(C#N)ccccc1,344.15
584,n1ccccc1,293.15
585,c1(N)ccccc1,344.15
586,C1=CC(=C(C=C1N=C=O)N=C=O)C,400.15
587,C1CCCCCN1,301.15
588,c1(NC)ccccc1,351.0
589,c1(N(C)C)ccccc1,348.15
590,n1c(C)cccc1,299.15
591,C/C=C\C#N,288.65
592,CCCS,253.15
593,CC(C)(C)S,249.15
594,CC(C)CS,264.15
595,CCCCCCS,305.65
596,CCCCCCCCCS,351.15
597,CCCCCCCCS,341.15
598,CC(S)C,239.0
599,C1(S)CCCCC1,312.15
600,c1(CS)ccccc1,343.15
601,CSCC,258.15
602,CSC(C)(C)C,270.15
603,CCCSCCC,305.15
604,CCSCC,263.15
605,CSC,237.15
606,S1C=CC=C1,266.45
607,c1(SC=C2)c2cccc1,364.15
608,CCSSCC,313.15
609,CCCCCCCCCCS,371.15
610,CCCCCS,291.15
611,CSSC,288.15
612,CCCSSCCC,339.15
613,c1cccc(C=C(C)S2)c21,386.15
614,CC(S)(C)CC(C)(C)C,304.0
615,CCCCCCCS,323.65
616,C=CCSCC=C,298.65
617,CCCCS,274.15
618,c1(S)ccccc1,328.15
619,S1CCCC1,291.0
620,CS(=O)C,361.0
621,CCCS(=O)(=O)CCC,399.15
622,CCCCS(=O)(=O)CCCC,416.15
623,CC(=O)Cl,269.15
624,ClCC(=O)O,399.15
625,ClC(Cl)C(=O)Cl,339.0
626,c1(C(=O)Cl)ccccc1,345.0
627,c1(C(F)(F)F)ccc(Cl)cc1,316.0
628,c1(N)c(Cl)cccc1,363.71
629,ClCOC,265.15
630,ClCC(O)CCl,358.15
631,ClCCOCCCl,348.15
632,CSCCC=O,334.15
633,SCCC(=O)O,366.15
634,CN(C)C=O,330.15
635,NC(=O)N,395.0
636,N1CCCCCC1=O,412.65
637,ClCC1CO1,304.0
638,CC(C)(O)C#N,347.15
639,CCCCOB(OCCCC)OCCCC,366.0
640,P(c1ccccc1)(c2ccccc2)(c3ccccc3),453.15
641,P(=O)(N(C)C)(N(C)C)(N(C)C),378.705
642,c1([N+](=O)[O-])ccccc1,361.0
643,O1C=CC=C1(C=O),333.15
644,C=CC(=O)OCCOC(=O)C=C,373.15
645,CC(=O)OC(C)COC,316.0
646,COCC(C)OCC(C)OC(=O)C,359.0
647,O1C=CCCC1(OC),299.15
648,[S],480.0
649,S=C=S,243.15
650,C[Si](C)(C)N[Si](C)(C)C,284.15
651,C[Si](C)(C)O[Si](C)(C)C,271.15
652,O1[Si](C)(C)O[Si](C)(C)O[Si]1(C)(C),308.15
653,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,352.15
654,C=C[Si](C)(Cl)Cl,276.15
655,[Si](OCC)(OCC)(OCC)CCCS,360.93
656,[Si](OC)(OC)(OC)CCCS,347.0
657,[Si]1(C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,330.15
658,CCC(=O)CCCCCC,339.15
659,C1(=O)C=CCCC1,329.15
660,CC(C)CCCCC(C)C,310.927
661,c1(O)c(C(C)(C)C)cc(C)cc1(C(C)(C)C),390.15
662,CC(C)CC(O)CC(C)C,339.15
663,C(c1ccccc1)(O)CC,363.15
664,C(O)C(c1ccccc1)C,381.15
665,C(O)CC(c1ccccc1),382.15
666,c1ccccc1[C@](C)([H])(O),358.15
667,C(c1c(C)cccc1)O,377.15
668,C(c1cc(C)ccc1)O,378.15
669,c1ccccc1C(C)(C)c2ccc(O)cc2,444.0
670,CC(O)CC(O)C,371.15
671,C/C=C(C)/CC,246.15
672,C=C(C)CCCCCC,296.65
673,C=C(C)CCCCC,283.15
674,CC(C)(C)C(=O)O,337.15
675,CCCCC(CC)C(=O)O,383.15
676,CCCCCCC(=O)O,388.15
677,CCC(C)(C)C(=O)O,352.15
678,O=C(O)CCCCCC(O)=O,423.15
679,C1(=O)OC(=O)C=C(C)1,374.15
680,CC(C)(C)OC=O,264.15
681,CCCCCCOC=O,320.0
682,C=C=CCCC,254.15
683,C1(OC=O)CCCCC1,324.15
684,CC(C)(C)OC(=O)C,276.95
685,CC(C)C(=O)OC,276.15
686,CC(C)C(=O)OCC,287.0
687,c1(COC=O)ccccc1,355.0
688,C=C(C)C(=O)OCC=C,306.15
